artist_name,track_name,track_id,artist_href,track_href,genre_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
journey,lights,7EHmKkyAr6MZv5Y2FdZbXw,https://open.spotify.com/artist/0rvjqX7ttXeg3mTy8Xscbt,https://open.spotify.com/track/7EHmKkyAr6MZv5Y2FdZbXw,hard-rock,0.193,0.498,7,-9.901,1,0.0381,0.107,0.00711,0.332,0.344,205.422,190333
ghost,square hammer,2XgTw2co6xv95TmKpMcL70,https://open.spotify.com/artist/1Qp56T7n950O3EGMsSl81D,https://open.spotify.com/track/2XgTw2co6xv95TmKpMcL70,hard-rock,0.53,0.903,2,-4.396,0,0.0483,3.31e-05,0.182,0.259,0.747,129.983,239293
steve miller band,fly like an eagle,3e0FzZjTXOUtiJGSClOBrI,https://open.spotify.com/artist/6QtGlUje9TIkLrgPZrESuk,https://open.spotify.com/track/3e0FzZjTXOUtiJGSClOBrI,hard-rock,0.561,0.754,9,-12.769,0,0.112,0.61,0.0194,0.328,0.642,100.08,282693
black sabbath,war pigs / luke's wall - 2012 - remaster,2rd9ETlulTbz6BYZcdvIE1,https://open.spotify.com/artist/5M52tdBnJaKSvOpJGz8mfZ,https://open.spotify.com/track/2rd9ETlulTbz6BYZcdvIE1,hard-rock,0.332,0.623,9,-12.363,1,0.08,0.222,0.000895,0.278,0.413,183.097,474360
foreigner,waiting for a girl like you,2OgVsp77En2nju8pnCieVU,https://open.spotify.com/artist/6IRouO5mvvfcyxtPDKMYFN,https://open.spotify.com/track/2OgVsp77En2nju8pnCieVU,hard-rock,0.33,0.469,10,-9.286,0,0.0335,0.31,2.3e-06,0.0402,0.433,201.327,292067
heart,crazy on you,5zH710lFSLtkHbMkslLDjR,https://open.spotify.com/artist/34jw2BbxjoYalTp8cJFCPv,https://open.spotify.com/track/5zH710lFSLtkHbMkslLDjR,hard-rock,0.427,0.459,9,-12.442,0,0.0332,0.116,0.000103,0.132,0.383,129.878,293440
skid row,18 and life,0qgrrDnUUhyxpxbBznUnzg,https://open.spotify.com/artist/4opTS86dN9uO313J9CE8xg,https://open.spotify.com/track/0qgrrDnUUhyxpxbBznUnzg,hard-rock,0.466,0.648,1,-11.101,0,0.028,0.0023,1.49e-05,0.112,0.305,90.435,229960
loverboy,working for the weekend,35k31HZI4z9PbBOioaI4dZ,https://open.spotify.com/artist/2CLVPk9FcywjClBcTvWPkT,https://open.spotify.com/track/35k31HZI4z9PbBOioaI4dZ,hard-rock,0.515,0.766,7,-12.768,1,0.0343,0.0249,0.00103,0.455,0.774,146.911,221000
alice cooper,school's out,5Z8EDau8uNcP1E8JvmfkZe,https://open.spotify.com/artist/3EhbVgyfGd7HkpsagwL9GS,https://open.spotify.com/track/5Z8EDau8uNcP1E8JvmfkZe,hard-rock,0.294,0.745,5,-9.138,1,0.0461,0.05,0.125,0.676,0.347,134.364,210107
38 special,caught up in you,3jYRpwbctfqB77uU7T7K3U,https://open.spotify.com/artist/3zXw2Eh96iTT51pytzHdZi,https://open.spotify.com/track/3jYRpwbctfqB77uU7T7K3U,hard-rock,0.425,0.681,1,-8.604,0,0.0316,0.0229,0.000219,0.0543,0.933,131.011,279333
metallica,fade to black (remastered),0dqGfCMAGyDgpUAgLNOjWd,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,https://open.spotify.com/track/0dqGfCMAGyDgpUAgLNOjWd,hard-rock,0.256,0.929,7,-6.667,1,0.113,0.00311,0.201,0.11,0.278,113.47,417227
metallica,72 seasons,4poeu6nUr4UQo1RXpp29Js,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,https://open.spotify.com/track/4poeu6nUr4UQo1RXpp29Js,hard-rock,0.193,0.983,9,-3.929,1,0.0591,4.01e-05,0.0375,0.0645,0.385,168.193,459120
judas priest,breaking the law,2RaA6kIcvomt77qlIgGhCT,https://open.spotify.com/artist/2tRsMl4eGxwoNabM08Dm4I,https://open.spotify.com/track/2RaA6kIcvomt77qlIgGhCT,hard-rock,0.362,0.961,2,-5.664,1,0.0857,0.024,9.35e-06,0.159,0.491,164.019,153840
the darkness,i believe in a thing called love,756CJtQRFSxEx9jV4P9hpA,https://open.spotify.com/artist/5r1bdqzhgRoHC3YcCV6N5a,https://open.spotify.com/track/756CJtQRFSxEx9jV4P9hpA,hard-rock,0.442,0.846,4,-5.214,1,0.0764,0.0538,4.71e-06,0.282,0.622,128.235,217653
billy squier,lonely is the night - remastered 2010,28eg5bkYvIHT7HPmzZFwLN,https://open.spotify.com/artist/3Fz2GbraVXhcpXnoi2Oe1r,https://open.spotify.com/track/28eg5bkYvIHT7HPmzZFwLN,hard-rock,0.347,0.803,9,-4.923,1,0.0416,0.209,4.36e-06,0.116,0.672,85.362,281453
the doors,riders on the storm,14XWXWv5FoCbFzLksawpEe,https://open.spotify.com/artist/22WZ7M8sxp5THdruNY3gXt,https://open.spotify.com/track/14XWXWv5FoCbFzLksawpEe,hard-rock,0.55,0.722,11,-11.729,0,0.0283,0.25,0.0129,0.11,0.716,103.886,434720
tom petty and the heartbreakers,breakdown,5x53pbGk6sbl1BGom19QQ5,https://open.spotify.com/artist/4tX2TplrkIP4v05BNC903e,https://open.spotify.com/track/5x53pbGk6sbl1BGom19QQ5,hard-rock,0.625,0.35,9,-8.395,0,0.0436,0.398,6.76e-05,0.123,0.69,113.688,163893
mötley crüe,wild side,669npuMwVlYFReOpYFYxwH,https://open.spotify.com/artist/0cc6vw3VN8YlIcvr1v7tBL,https://open.spotify.com/track/669npuMwVlYFReOpYFYxwH,hard-rock,0.596,0.896,0,-4.635,1,0.0383,0.00761,0.000595,0.372,0.457,115.093,281960
aerosmith,"i don't want to miss a thing - from ""armageddon"" soundtrack",5qlJg0Wbj3sslxfwiaRNpq,https://open.spotify.com/artist/7Ey4PD4MYsKc5I2dolUwbH,https://open.spotify.com/track/5qlJg0Wbj3sslxfwiaRNpq,hard-rock,0.39,0.649,2,-5.163,1,0.0345,0.172,0.0,0.216,0.144,121.161,299723
yes,owner of a lonely heart,0GTK6TesV108Jj5D3MHsYb,https://open.spotify.com/artist/7AC976RDJzL2asmZuz7qil,https://open.spotify.com/track/0GTK6TesV108Jj5D3MHsYb,hard-rock,0.744,0.798,7,-5.981,1,0.0364,0.175,0.00367,0.26,0.89,125.061,268507
tom petty and the heartbreakers,don't do me like that,5AzpZ5ADn1AFPxcEBd2Ugf,https://open.spotify.com/artist/4tX2TplrkIP4v05BNC903e,https://open.spotify.com/track/5AzpZ5ADn1AFPxcEBd2Ugf,hard-rock,0.758,0.805,0,-4.243,1,0.0279,0.211,1.53e-05,0.0982,0.961,116.543,161787
deep purple,smoke on the water,5SAUIWdZ04OxYfJFDchC7S,https://open.spotify.com/artist/568ZhdwyaiCyOGJRtNYhWf,https://open.spotify.com/track/5SAUIWdZ04OxYfJFDchC7S,hard-rock,0.632,0.586,0,-11.333,1,0.0284,0.0983,0.581,0.0535,0.89,114.243,342173
journey,wheel in the sky,215wUTQQUo2PElJFEFoB0d,https://open.spotify.com/artist/0rvjqX7ttXeg3mTy8Xscbt,https://open.spotify.com/track/215wUTQQUo2PElJFEFoB0d,hard-rock,0.442,0.745,2,-8.623,0,0.0741,0.084,2.18e-05,0.136,0.368,105.184,252240
guns n' roses,don't cry (original),2N2yrmodOnVF10mKvItC9P,https://open.spotify.com/artist/3qm84nBOXUEQ2vnTfUTTFC,https://open.spotify.com/track/2N2yrmodOnVF10mKvItC9P,hard-rock,0.456,0.59,11,-8.638,1,0.0327,0.00182,0.00379,0.104,0.243,124.635,283733
jimi hendrix,hey joe,0NWPxcsf5vdjdiFUI8NgkP,https://open.spotify.com/artist/776Uo845nYHJpNaStv1Ds4,https://open.spotify.com/track/0NWPxcsf5vdjdiFUI8NgkP,hard-rock,0.346,0.768,9,-5.695,1,0.0377,0.00603,0.38,0.0244,0.532,169.492,210160
ozzy osbourne,"mama, i'm coming home",0S3gpZzlT9Hb7CCSV2owX7,https://open.spotify.com/artist/6ZLTlhejhndI4Rh53vYhrY,https://open.spotify.com/track/0S3gpZzlT9Hb7CCSV2owX7,hard-rock,0.282,0.656,8,-6.557,1,0.0302,0.0105,0.0,0.0892,0.242,139.352,251867
metallica,shadows follow,1XcRSCO0AbSIX4f6z29MFn,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,https://open.spotify.com/track/1XcRSCO0AbSIX4f6z29MFn,hard-rock,0.313,0.979,11,-3.907,1,0.0462,0.000121,0.0313,0.261,0.678,178.884,371880
