artist_name,track_name,track_id,artist_href,track_href,genre_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
walk the moon,shut up and dance,4kbj5MwxO1bq9wjT5g9HaA,https://open.spotify.com/artist/6DIS6PRrLS3wbnZsf7vYic,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA,Pop,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,199080
imagine dragons,thunder,1zB4vmk8tFRmM9UULNzbLB,https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,Pop,0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,187147
taylor swift,love story (taylor’s version),3CeCwYWvdfXbZLXFhBrbnf,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,https://open.spotify.com/track/3CeCwYWvdfXbZLXFhBrbnf,Pop,0.626,0.79,2,-4.302,1,0.0311,0.135,3.97e-06,0.0989,0.416,119.082,235767
one direction,night changes,5O2P9iiztwhomNh8xkR9lJ,https://open.spotify.com/artist/4AK6F7OLvEQ5QYCBNiQWHq,https://open.spotify.com/track/5O2P9iiztwhomNh8xkR9lJ,Pop,0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001,226600
doja cat,ain't shit,5lAnYvAIkSDNXqfo7DyFUm,https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm,Pop,0.855,0.488,3,-4.601,1,0.208,0.506,0.0,0.347,0.619,124.097,174253
lana del rey,brooklyn baby,1NZs6n6hl8UuMaX0UC0YTz,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,https://open.spotify.com/track/1NZs6n6hl8UuMaX0UC0YTz,Pop,0.404,0.664,1,-6.698,1,0.0407,0.542,0.00402,0.11,0.0949,107.747,351640
taylor swift,the way i loved you (taylor’s version),22bPsP2jCgbLUvh82U0Z3M,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,https://open.spotify.com/track/22bPsP2jCgbLUvh82U0Z3M,Pop,0.402,0.732,5,-4.665,1,0.0484,0.0033,0.0,0.108,0.472,161.032,243137
khalid,location,152lZdxL1OR0ZMW6KquMif,https://open.spotify.com/artist/6LuN9FCkKOj5PcnpouEgny,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif,Pop,0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126,219080
avicii,the nights,0ct6r3EGTcMLPtrXHDvVjc,https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc,Pop,0.527,0.835,6,-5.298,1,0.0433,0.0166,0.0,0.249,0.654,125.983,176658
sza,love galore (feat. travis scott),0q75NwOoFiARAVp4EXU4Bs,https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP,https://open.spotify.com/track/0q75NwOoFiARAVp4EXU4Bs,Pop,0.795,0.594,0,-6.2,1,0.0748,0.112,0.0,0.162,0.409,135.002,275080
billie eilish,everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,Pop,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426
doja cat,kiss me more (feat. sza),3DarAbFujv6eYNliUTyqtz,https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz,Pop,0.764,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,110.97,208667
taylor swift,gorgeous,1ZY1PqizIl78geGM4xWlEA,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,https://open.spotify.com/track/1ZY1PqizIl78geGM4xWlEA,Pop,0.8,0.535,7,-6.684,1,0.135,0.0713,9.48e-06,0.213,0.451,92.027,209680
whitney houston,i wanna dance with somebody (who loves me),2tUBqZG2AbRi7Q0BIrVrEj,https://open.spotify.com/artist/6XpaIBNiVzIetEPCWDvAFP,https://open.spotify.com/track/2tUBqZG2AbRi7Q0BIrVrEj,Pop,0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818,291293
joji,die for you,26hOm7dTtBi0TdpDGl141t,https://open.spotify.com/artist/3MZsBdqDrRTJihTHQrO6Dq,https://open.spotify.com/track/26hOm7dTtBi0TdpDGl141t,Pop,0.472,0.518,8,-7.379,1,0.051,0.383,0.127,0.289,0.154,147.805,211667
morgan wallen,last night,59uQI0PADDKeE6UZDTJEe8,https://open.spotify.com/artist/4oUHIQIBe0LHzYfvXNW4QM,https://open.spotify.com/track/59uQI0PADDKeE6UZDTJEe8,Country,0.517,0.675,6,-5.382,1,0.0357,0.459,0.0,0.151,0.518,203.853,163855
luke combs,fast car,1Lo0QY9cvc8sUB2vnIOxDT,https://open.spotify.com/artist/718COspgdWOnwOFpJHRZHS,https://open.spotify.com/track/1Lo0QY9cvc8sUB2vnIOxDT,Country,0.712,0.603,8,-5.52,1,0.0262,0.186,0.0,0.115,0.67,97.994,265493
morgan wallen,thinkin’ bout me,0PAcdVzhPO4gq1Iym9ESnK,https://open.spotify.com/artist/4oUHIQIBe0LHzYfvXNW4QM,https://open.spotify.com/track/0PAcdVzhPO4gq1Iym9ESnK,Country,0.656,0.757,3,-5.775,0,0.0308,0.492,0.0,0.117,0.429,139.971,177388
morgan wallen,wasted on you,3cBsEDNhFI9E82vPj3kvi3,https://open.spotify.com/artist/4oUHIQIBe0LHzYfvXNW4QM,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3,Country,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,178520
morgan wallen,you proof,5W4kiM2cUYBJXKRudNyxjW,https://open.spotify.com/artist/4oUHIQIBe0LHzYfvXNW4QM,https://open.spotify.com/track/5W4kiM2cUYBJXKRudNyxjW,Country,0.732,0.839,9,-5.007,1,0.0345,0.265,0.0,0.602,0.629,119.724,157478
morgan wallen,ain’t that some,2YVlDlk2zRceefo6XlC6DX,https://open.spotify.com/artist/4oUHIQIBe0LHzYfvXNW4QM,https://open.spotify.com/track/2YVlDlk2zRceefo6XlC6DX,Country,0.641,0.803,6,-5.781,0,0.0286,0.00232,3.86e-06,0.361,0.671,121.086,158004
morgan wallen,whiskey glasses,6foY66mWZN0pSRjZ408c00,https://open.spotify.com/artist/4oUHIQIBe0LHzYfvXNW4QM,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00,Country,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84e-06,0.115,0.707,149.959,234347
morgan wallen,one thing at a time,1rXq0uoV4KTgRN64jXzIxo,https://open.spotify.com/artist/4oUHIQIBe0LHzYfvXNW4QM,https://open.spotify.com/track/1rXq0uoV4KTgRN64jXzIxo,Country,0.613,0.914,7,-5.153,1,0.03,0.00522,2.21e-06,0.26,0.916,141.978,206865
morgan wallen,chasin' you,5MwynWK9s4hlyKHqhkNn4A,https://open.spotify.com/artist/4oUHIQIBe0LHzYfvXNW4QM,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A,Country,0.631,0.591,7,-5.785,1,0.0277,0.657,0.0,0.11,0.489,97.074,205453
morgan wallen,cowgirls (feat. ernest),7fveJ3pk1eSfxBdVkzdXZ0,https://open.spotify.com/artist/4oUHIQIBe0LHzYfvXNW4QM,https://open.spotify.com/track/7fveJ3pk1eSfxBdVkzdXZ0,Country,0.624,0.766,8,-3.805,1,0.0359,0.199,8.62e-06,0.156,0.37,172.08,181621
chris stapleton,tennessee whiskey,3fqwjXwUGN6vbzIwvyFMhx,https://open.spotify.com/artist/4YLtscXsxbVgi031ovDDdh,https://open.spotify.com/track/3fqwjXwUGN6vbzIwvyFMhx,Country,0.392,0.37,9,-10.888,1,0.0298,0.205,0.0096,0.0821,0.512,48.718,293293
morgan wallen,man made a bar (feat. eric church),73zawW1ttszLRgT9By826D,https://open.spotify.com/artist/4oUHIQIBe0LHzYfvXNW4QM,https://open.spotify.com/track/73zawW1ttszLRgT9By826D,Country,0.498,0.764,4,-5.006,1,0.0309,0.123,3.07e-05,0.119,0.489,147.984,191231
morgan wallen,sunrise,0JtgoDDf0ggWaoXCGhcOoT,https://open.spotify.com/artist/4oUHIQIBe0LHzYfvXNW4QM,https://open.spotify.com/track/0JtgoDDf0ggWaoXCGhcOoT,Country,0.613,0.765,2,-5.058,0,0.0318,0.259,4.28e-06,0.0832,0.343,139.993,182522
luke combs,when it rains it pours,1mMLMZYXkMueg65jRRWG1l,https://open.spotify.com/artist/718COspgdWOnwOFpJHRZHS,https://open.spotify.com/track/1mMLMZYXkMueg65jRRWG1l,Country,0.551,0.801,6,-5.069,1,0.0303,0.013,6.03e-06,0.265,0.625,128.027,240760
luke combs,beautiful crazy,2rxQMGVafnNaRaXlRMWPde,https://open.spotify.com/artist/718COspgdWOnwOFpJHRZHS,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde,Country,0.551,0.402,11,-7.431,1,0.0262,0.676,0.0,0.0928,0.382,103.313,193200
