artist_name,track_name,track_id,artist_href,track_href,genre_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
nina simone,baltimore,39CyGKIFqMzSuynOR8uilD,https://open.spotify.com/artist/7G1GBhoKtEPnP86X2PvEYO,https://open.spotify.com/track/39CyGKIFqMzSuynOR8uilD,Jazz,0.638,0.28,9,-16.516,1,0.0673,0.417,0.439,0.0611,0.734,154.955,278867
louie hobbs trio,if i could just go back,6GqR4kbLTMfwJ2hFDZclMv,https://open.spotify.com/artist/5tAr3Ha3HSyUQfRp4vVa1U,https://open.spotify.com/track/6GqR4kbLTMfwJ2hFDZclMv,Jazz,0.483,0.192,9,-18.021,0,0.0368,0.904,0.839,0.0763,0.0714,110.554,179233
bonobo,rosewood,2ZaL63zLMDr6H18El2EIt9,https://open.spotify.com/artist/0cmWgDlu9CwTgxPhf403hb,https://open.spotify.com/track/2ZaL63zLMDr6H18El2EIt9,Jazz,0.757,0.637,10,-9.451,0,0.0432,0.0668,0.485,0.191,0.429,121.009,242773
dabey,haye,3H6hRvJ0hlRfrBdfzgC6Nl,https://open.spotify.com/artist/5PlbCXGclhKsbKfOtuzmVM,https://open.spotify.com/track/3H6hRvJ0hlRfrBdfzgC6Nl,Jazz,0.736,0.498,2,-10.222,0,0.0795,0.499,0.91,0.0974,0.811,82.01,275326
karol g,tqg,0DWdj2oZMBFSzRsi2Cvfzf,https://open.spotify.com/artist/790FomKkXshlbRYZFtlgla,https://open.spotify.com/track/0DWdj2oZMBFSzRsi2Cvfzf,Latin,0.72,0.63,4,-3.547,0,0.277,0.673,0.0,0.0936,0.607,179.974,199440
bad bunny,me porto bonito,6Sq7ltF9Qa7SNFBsV5Cogx,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx,Latin,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,178567
bad bunny,tití me preguntó,1IHWl5LamUGEuP4ozKQSXZ,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ,Latin,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,243717
bad bunny,efecto,5Eax0qFko2dh7Rl2lYs3bx,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,https://open.spotify.com/track/5Eax0qFko2dh7Rl2lYs3bx,Latin,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,213061
eladio carrion,coco chanel,0PB0O24JqAuNdOAFVJljMS,https://open.spotify.com/artist/5XJDexmWFLWOkjOEjOVX3e,https://open.spotify.com/track/0PB0O24JqAuNdOAFVJljMS,Latin,0.683,0.764,2,-5.995,1,0.0441,0.0427,0.0,0.0963,0.137,149.949,160325
bad bunny,ojitos lindos,3k3NWokhRRkEPhCzPmV8TW,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW,Latin,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,258299
